date,0_control_children_population_percentage,1_working_age_population_percentage,2_labor_force_participation_rate,3_inflation,4_population_not_rec_social_protection,birth_rate
1/1/1988,37.20720205,,,,,28.544
1/1/1988,30.83774043,,,,,22.106
1/1/1989,38.93273852,,,1,,30.798
1/1/1989,35.8428761,,,1,,25.677
1/1/1989,26.22700538,,,8.447436729,,18.279
1/1/1989,38.58635391,,,75.64819122,,30.589
1/1/1989,41.34802144,,,26.42212672,,34.166
1/1/1989,36.69030185,,,25.86755157,,26.952
1/1/1989,30.19154221,,,17.27955739,,22.349
1/1/1989,41.51634542,,,15.17346811,,35.862
1/1/1989,33.96838986,,,0.769646742,,27.892
1/1/1989,38.14996146,,,,,29.634
1/1/1989,36.56548182,,,,,28.342
1/1/1989,30.79633708,,,,,21.967
1/1/1990,38.51160814,,,1,,30.243
1/1/1990,35.45963267,,,1,,24.979
1/1/1990,26.01523671,,,1,,18.292
1/1/1990,38.21891976,,,48.519113,,30.077
1/1/1990,41.25250193,,,37.25995618,,33.579
1/1/1990,36.37215867,,,29.15221896,,26.401
1/1/1990,29.98557181,,,26.3647216,,21.945
1/1/1990,33.85263282,,,21.73994434,,27.582
1/1/1990,41.28899147,,,17.11877465,,35.396
1/1/1990,37.91664829,,,,,29.045
1/1/1990,36.15010716,,,,,28.243
1/1/1990,30.61321082,,,,,21.804
1/1/1991,34.99283314,,,1,,24.37
1/1/1991,38.17737348,,,1,,29.643
1/1/1991,25.8863045,,,1,,18.258
1/1/1991,37.9022062,,,48.83827751,,29.55
1/1/1991,36.00543074,,,3.387821583,,25.843
1/1/1991,33.75905553,,,25.96746256,,27.24
1/1/1991,41.13759741,,,24.22535211,,32.993
1/1/1991,29.82248074,,,21.78441738,,21.465
1/1/1991,41.06952271,,,21.44769817,,34.957
1/1/1991,37.71437245,,,,,28.41
1/1/1991,35.89559969,,,,,28.215
1/1/1991,30.46949444,,,,,21.603
1/1/1992,34.53467883,,,1,,23.838
1/1/1992,37.75283396,,,73.52829424,,29.011
1/1/1992,25.66767728,,,68.45919384,,18.173
1/1/1992,37.56176051,,,54.34836129,,29.02
